ID,20S20R1,7S7R100,9S9R100,3S3R100,21S21R1,22S22R1,8S8R100,6S6R100,2S2R100,5S5R100,16S16R1,17S17R1,1S1R100,15S15R1,18S18R1,19S19R1,14S14R1,11S11R1,4S4R100,10S10R1,12S12R1,13S13R1
Mycobacterium cosmeticum,0,1,1,0,4,5,2,2,3,0,2,0,1,2,1,1,1,11,2,5,0,1
Mycobacterium diernhoferi,4,12,4,1,7,19,4,3,14,4,23,3,2,4,11,1,5,50,3,25,0,8
Mycobacterium doricum,3,12,3,3,11,23,9,8,60,11,74,7,25,3,1,3,9,188,6,123,2,7
Mycobacterium elephantis,0,2,1,1,0,2,0,1,5,0,8,0,0,0,0,1,1,3,0,2,0,6
Mycobacterium engbaekii,2,1,1,0,0,11,2,2,5,2,5,0,0,4,1,1,2,6,1,6,0,4
Mycobacterium europaeum,3,7,4,3,2,11,5,2,12,3,7,10,0,2,2,4,1,27,2,10,2,11
Mycobacterium fallax,7,11,4,0,3,11,9,4,15,8,10,9,5,11,3,1,7,36,5,24,5,6
Mycobacterium farcinogenes,0,1,2,0,0,9,0,0,7,3,2,1,0,0,1,1,3,8,0,0,0,0
Mycobacterium flavescens,8,14,6,5,4,29,4,9,17,6,24,2,9,4,9,4,5,36,5,17,1,11
Mycobacterium florentinum,3,10,1,3,2,8,2,0,9,7,11,4,1,1,3,1,8,33,1,7,1,5
Mycobacterium fortuitum,13,42,18,10,12,32,22,13,70,8,40,18,12,18,10,7,11,71,10,46,17,30
Mycobacterium fragae,4,11,1,1,6,5,1,1,14,1,5,2,4,1,3,0,1,24,0,9,1,5
Mycobacterium franklinii,6,16,3,6,2,16,5,6,15,3,13,8,1,1,0,1,4,23,1,10,10,9
Mycobacterium gastri,4,12,5,1,0,19,6,3,20,2,6,1,1,1,4,2,0,20,2,5,1,1
Mycobacterium genavense,1,2,6,12,6,8,3,0,8,11,8,1,2,0,5,0,5,14,4,5,1,4
Mycobacterium gilvum,14,23,8,3,11,19,22,12,19,13,20,20,9,3,8,11,15,69,12,29,5,10
Mycobacterium goodii,0,8,5,8,11,13,3,1,19,1,20,0,3,0,2,1,4,29,8,17,3,8
Mycobacterium gordonae,18,38,11,11,18,48,19,23,65,10,47,26,21,9,20,15,22,113,28,51,15,32
Mycobacterium haemophilum,1,7,2,3,1,19,1,1,15,2,3,3,6,2,0,0,0,20,5,11,7,3
Mycobacterium hassiacum,10,21,19,2,5,28,5,9,32,3,14,1,5,4,2,5,4,44,1,21,9,17
Mycobacterium heckeshornense,8,4,4,3,2,13,2,4,18,3,18,2,5,2,0,2,2,20,1,12,2,3
Mycobacterium heidelbergense,2,4,1,1,7,11,1,2,11,0,9,0,1,2,2,1,3,30,0,2,4,0
Mycobacterium heraklionense,13,30,12,4,5,21,7,7,24,5,36,15,11,2,10,8,10,43,3,33,3,17
Mycobacterium hiberniae,1,2,1,0,1,1,2,1,9,2,2,2,0,0,0,1,3,7,0,1,3,6
Mycobacterium holsaticum,2,6,12,3,9,10,8,4,23,7,21,7,4,5,4,3,10,28,4,13,4,10
Mycobacterium houstonense,11,23,8,2,1,8,4,6,13,3,8,1,4,2,4,0,2,31,0,15,2,7
Mycobacterium icosiumassiliensis,6,7,0,7,3,0,7,1,1,0,6,3,0,1,1,0,6,9,2,9,0,1
Mycobacterium immunogenum,0,11,8,4,3,16,12,6,31,3,13,6,9,5,10,6,7,21,6,18,3,11
Mycobacterium indicus pranii,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,2,4,3,1,0,0
Mycobacterium insubricum,7,16,8,8,10,28,5,0,22,8,21,0,4,6,7,9,0,43,1,24,0,19
Mycobacterium interjectum,9,16,7,2,4,8,5,5,21,1,5,3,1,4,6,1,2,30,2,18,18,6
Mycobacterium intermedium,7,12,2,2,6,46,6,3,14,3,17,2,9,4,7,8,7,44,3,16,5,7
Mycobacterium intracellulare,6,15,12,9,5,31,10,12,36,6,24,12,19,10,15,2,12,58,15,28,7,16
Mycobacterium iranicum,17,32,10,27,15,20,28,23,43,27,35,106,16,43,13,9,26,94,23,39,44,24
Mycobacterium kansasii,80,103,79,52,48,182,83,68,197,32,119,83,53,68,99,46,79,320,55,163,48,89
Mycobacterium komanii,1,3,1,1,1,5,2,0,9,1,2,6,2,1,1,0,3,12,1,10,0,2
Mycobacterium koreense,1,3,1,2,0,6,5,3,1,1,2,4,0,2,0,0,2,4,0,4,0,0
Mycobacterium kubicae,0,1,1,0,0,3,0,0,4,0,3,0,1,2,0,0,3,4,2,1,0,0
Mycobacterium kumamotonense,10,16,11,6,21,12,5,4,39,7,22,3,2,4,6,1,6,21,4,27,3,20
Mycobacterium kyorinense,10,10,5,2,3,21,5,5,14,5,15,2,2,11,5,1,9,41,2,25,6,6
Mycobacterium lacus,3,8,4,10,4,4,0,1,11,3,6,3,5,0,3,0,2,24,4,7,0,3
Mycobacterium lentiflavum,9,19,4,5,1,19,3,7,20,2,15,1,3,2,1,4,3,31,1,10,4,5
Mycobacterium leprae,0,4,1,4,1,7,3,3,3,1,12,2,1,0,0,2,0,12,1,8,0,5
Mycobacterium lepromatosis,1,3,0,3,1,0,1,0,3,0,2,0,2,4,0,3,0,9,1,3,2,0
Mycobacterium liflandii,1,2,2,0,0,3,0,0,2,3,3,0,0,1,0,0,0,8,0,2,2,3
Mycobacterium litorale,8,6,11,3,14,16,16,3,22,5,11,1,6,4,15,5,15,44,15,38,2,15
Mycobacterium llatzerense,3,7,1,4,5,9,10,2,9,2,5,3,3,3,5,1,2,20,1,8,2,2
Mycobacterium longobardum,3,4,7,0,2,18,3,0,15,0,3,3,5,2,1,2,2,25,2,13,1,8
Mycobacterium mageritense,1,4,1,4,1,2,3,1,1,1,9,2,2,0,0,1,4,13,4,9,2,2
Mycobacterium malmesburyense,4,2,1,2,1,6,1,3,7,1,6,1,1,0,2,0,2,17,2,6,1,10
Mycobacterium malmoense,10,25,11,14,9,19,21,14,42,14,17,13,6,27,7,9,16,57,18,25,24,10
Mycobacterium mantenii,0,5,4,1,6,4,3,0,10,0,4,0,0,2,2,0,1,8,0,5,5,1
Mycobacterium marinum,5,8,3,1,0,22,2,2,23,7,9,4,4,1,6,2,2,36,6,7,3,4
Mycobacterium marseillense,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,4,3,0,3,0,0
Mycobacterium microti,1,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
Mycobacterium minnesotense,4,7,1,3,13,7,2,1,4,0,10,0,1,0,0,2,5,12,1,5,0,1
Mycobacterium monacense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Mycobacterium montefiorense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mycobacterium moriokaense,10,11,4,6,8,15,4,3,16,2,13,1,5,9,5,4,1,65,9,17,4,4
Mycobacterium mucogenicum,12,20,6,12,5,32,7,1,21,2,20,21,12,4,7,7,22,53,7,21,6,14
Mycobacterium mungi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mycobacterium nebraskense,1,8,0,5,0,13,3,1,9,3,5,3,1,4,3,0,2,37,1,10,2,5
Mycobacterium neoaurum,2,5,0,0,1,8,1,3,4,2,0,4,0,0,2,0,2,9,1,1,1,0
Mycobacterium neworleansense,1,1,3,1,2,8,0,5,8,2,9,1,1,0,0,0,3,21,2,3,2,1
Mycobacterium nonchromogenicum,1,2,3,1,0,4,3,1,2,1,1,1,0,1,0,0,0,4,0,7,0,0
Mycobacterium noviomagense,7,3,1,2,4,13,0,2,10,1,12,4,1,2,6,0,2,13,5,2,5,6
Mycobacterium novocastrense,7,2,1,1,2,8,11,2,3,2,0,13,5,3,1,7,5,9,4,14,4,3
Mycobacterium obuense,4,4,2,2,3,12,1,4,8,4,11,8,0,6,8,4,2,15,1,2,1,3
Mycobacterium palustre,7,24,4,3,3,9,3,2,22,1,4,5,2,1,6,4,3,26,1,11,11,4
Mycobacterium paraense,3,5,4,2,4,13,3,3,15,0,7,2,3,12,9,5,5,19,0,9,4,3
Mycobacterium paraffinicum,1,2,2,0,7,2,0,1,8,0,3,0,0,0,1,0,3,6,0,11,1,5
Mycobacterium parafortuitum,12,12,5,5,3,10,5,3,11,9,13,10,7,4,26,1,1,39,13,11,5,2
Mycobacterium paraintracellulare,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,2,0,0
Mycobacterium parascrofulaceum,0,5,1,3,0,2,3,0,7,0,5,1,0,0,1,1,0,1,2,5,0,0
Mycobacterium paraseoulense,0,1,1,3,0,3,1,2,9,0,4,2,0,2,0,1,1,17,1,2,0,3
Mycobacterium parmense,3,12,2,8,1,12,6,9,17,3,11,3,4,8,4,7,4,30,7,14,5,7
Mycobacterium peregrinum,16,25,7,6,6,42,7,9,34,7,16,12,5,11,13,7,17,57,8,38,11,10
Mycobacterium phlei,10,21,6,12,19,24,5,11,41,18,26,6,22,16,24,14,19,60,7,31,9,10
Mycobacterium porcinum,4,6,4,2,0,6,3,3,38,0,18,2,1,2,3,0,2,16,2,7,3,7
Mycobacterium pseudoshottsii,1,2,0,0,0,6,0,0,2,0,1,1,0,0,1,0,2,0,0,0,1,0
Mycobacterium rhodesiae,33,48,15,11,14,58,20,11,57,11,44,20,23,17,21,16,20,167,12,61,21,30
Mycobacterium riyadhense,1,5,1,1,5,14,7,5,11,1,9,4,1,1,3,4,9,35,2,10,4,3
Mycobacterium rufum,3,8,1,10,6,11,3,2,11,2,5,6,3,3,0,4,3,26,4,15,0,4
Mycobacterium rutilum,8,16,4,9,8,23,11,7,11,7,50,6,8,12,11,2,11,46,5,17,5,7
Mycobacterium salmoniphilum,0,10,1,8,4,9,5,11,13,3,3,0,1,0,4,11,1,14,1,4,3,5
Mycobacterium saopaulense,7,10,1,2,19,20,10,3,18,2,14,7,2,2,3,4,3,38,2,33,1,6
Mycobacterium saskatchewanense,5,21,3,9,8,7,5,2,11,3,13,6,8,1,4,4,10,16,6,20,5,5
Mycobacterium scrofulaceum,0,3,5,2,6,12,1,4,17,0,8,8,4,2,2,2,3,14,2,12,3,3
Mycobacterium senegalense,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mycobacterium senuense,1,6,0,2,2,5,2,0,9,0,7,2,4,0,2,0,0,10,1,3,0,0
Mycobacterium septicum,0,13,0,1,1,10,3,0,4,3,5,0,3,2,1,3,3,11,0,5,3,2
Mycobacterium setense,0,13,10,3,6,9,4,9,17,1,12,8,1,2,6,4,1,36,2,17,1,13
Mycobacterium sherrisii,2,10,2,2,1,5,3,8,14,0,14,5,3,3,2,3,13,14,1,7,1,4
Mycobacterium shimoidei,5,7,1,8,3,23,3,2,14,1,28,4,4,0,6,7,3,30,4,16,6,5
Mycobacterium shinjukuense,6,5,2,0,1,24,0,5,12,0,9,2,0,0,2,2,7,25,2,11,2,5
Mycobacterium simiae,2,6,5,6,7,18,1,5,11,6,11,5,14,3,6,2,13,31,2,9,3,1
Mycobacterium sinense,4,14,5,8,12,40,10,13,33,6,12,15,2,9,10,6,11,38,7,26,16,20
Mycobacterium smegmatis,4,12,12,5,27,35,4,14,22,10,22,8,10,10,12,8,9,51,8,29,9,17
Mycobacterium sp. (ex Dasyatis americana),0,7,1,0,2,2,1,3,10,1,4,1,2,0,2,1,1,9,1,4,0,1
Mycobacterium sp. 012931,0,0,0,1,0,0,0,1,0,0,0,6,1,0,1,0,0,1,2,1,0,1
Mycobacterium sp. 1081908.1,3,3,1,0,0,3,1,2,3,0,4,2,1,3,2,0,0,13,7,5,3,1
Mycobacterium sp. 1100029.7,3,12,3,12,1,9,5,3,8,2,11,2,4,7,5,5,2,32,3,7,11,4
Mycobacterium sp. 1137317.9,1,2,1,0,0,1,0,0,2,0,1,0,0,0,2,0,4,4,0,1,0,1
Mycobacterium sp. 1164966.3,3,3,2,2,0,19,2,1,23,5,5,2,2,0,4,4,2,12,0,8,0,1
Mycobacterium sp. 1164985.4,3,2,0,0,1,1,0,0,6,0,5,4,1,4,2,1,2,9,1,7,0,0
Mycobacterium sp. 1165178.9,2,4,0,0,5,6,4,0,10,0,3,3,0,7,2,0,1,4,2,4,1,2
Mycobacterium sp. 1165196.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0
Mycobacterium sp. 1165549.7,0,1,1,0,0,2,1,0,3,1,0,0,0,0,1,0,0,3,0,1,2,0
Mycobacterium sp. 1245111.1,2,16,2,2,4,28,6,1,18,0,11,0,6,1,1,1,1,30,1,19,2,10
Mycobacterium sp. 1245499.0,2,4,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,5,0,0
Mycobacterium sp. 1245801.1,0,2,4,0,0,4,0,0,1,0,3,0,0,0,0,0,1,0,1,1,1,1
Mycobacterium sp. 1245805.9,1,2,1,2,11,5,1,6,4,2,8,21,1,2,0,0,2,11,0,13,6,4
Mycobacterium sp. 1245852.3,0,4,0,0,0,0,0,1,6,0,2,5,0,0,1,0,0,6,3,0,0,1
Mycobacterium sp. 1274756.6,5,6,3,1,4,10,4,1,11,2,3,0,9,4,1,2,1,24,1,6,1,4
Mycobacterium sp. 1274761.0,4,6,2,1,1,12,3,0,13,4,10,3,1,1,1,1,5,29,10,7,1,10
Mycobacterium sp. 141,0,5,4,0,1,5,2,3,11,2,1,0,2,0,1,0,3,17,0,3,1,0
Mycobacterium sp. 1423905.2,8,2,3,1,3,12,0,1,5,0,5,3,4,8,2,3,2,28,3,7,12,0
Mycobacterium sp. 1465703.0,6,5,0,4,0,6,3,4,3,0,3,0,1,2,4,0,1,19,2,9,1,1
Mycobacterium sp. 1477680.9,0,1,0,0,0,9,0,0,2,0,0,0,2,0,2,0,0,0,0,1,1,1
Mycobacterium sp. 1482268.1,3,9,0,2,3,10,0,2,16,2,8,7,1,4,3,4,4,30,4,13,7,3
Mycobacterium sp. 1482292.6,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0
Mycobacterium sp. 1554424.7,3,2,2,3,3,5,0,2,10,0,4,1,2,4,0,1,1,10,4,8,1,2
Mycobacterium sp. 155,5,9,109,4,3,6,0,2,10,5,4,10,3,3,5,4,17,10,10,7,5,2
Mycobacterium sp. 24999,1,0,0,0,0,0,0,0,2,1,0,2,0,6,5,1,0,2,1,0,7,1
Mycobacterium sp. 27335,0,0,0,3,3,1,0,0,2,0,0,2,0,1,1,0,2,1,0,0,0,0
Mycobacterium sp. 283mftsu,0,0,2,4,0,0,3,2,1,0,1,9,2,5,2,0,2,4,0,2,0,2
Mycobacterium sp. 360MFTsu5.1,1,0,0,0,0,3,1,1,1,3,1,0,0,0,0,0,0,4,1,0,1,0
Mycobacterium sp. 365mftsu,2,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,1,0,1,0,0,0
Mycobacterium sp. 455mf,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mycobacterium sp. 852002-10029_SCH5224772,3,6,5,3,5,6,3,1,9,3,7,1,1,4,2,3,3,9,2,9,2,3
Mycobacterium sp. 852002-10318_SCH4845932,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,1,0,2,0,0,0,0
Mycobacterium sp. 852002-10379_SCH5584320,0,0,1,0,0,0,1,0,2,1,1,0,0,0,0,0,0,2,0,0,1,1
Mycobacterium sp. 852002-30065_SCH5024008,0,0,0,2,1,0,1,0,0,2,1,0,0,2,1,0,0,0,1,1,2,0
Mycobacterium sp. 852002-40037_SCH5390672,0,0,0,1,0,6,2,1,1,1,1,1,3,1,0,0,1,10,0,1,0,5
Mycobacterium sp. 852002-50816_SCH5313054-b,1,3,0,0,1,10,0,0,7,0,6,0,3,0,0,0,3,13,2,2,1,3
Mycobacterium sp. 852002-51057_SCH5723018,1,6,2,0,0,11,2,0,8,0,4,3,0,3,10,2,1,22,0,9,1,2
Mycobacterium sp. 852002-51152_SCH6134967,0,2,1,0,0,5,1,2,7,0,3,0,2,0,4,0,4,6,0,5,0,4
Mycobacterium sp. 852002-51163_SCH5372311,4,8,6,1,3,5,0,0,13,1,5,2,0,3,3,1,6,30,1,10,0,8
Mycobacterium sp. 852002-51296_SCH5728562-a,1,5,1,0,2,3,9,1,7,3,5,3,1,3,2,1,0,13,1,6,2,4
Mycobacterium sp. 852002-51613_SCH5001154,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,5,1,0,0,0
Mycobacterium sp. 852002-51759_SCH5129042,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
Mycobacterium sp. 852002-51961_SCH5331710,1,2,0,2,0,8,2,0,2,1,0,1,4,0,0,1,0,6,3,1,1,0
Mycobacterium sp. 852002-51971_SCH5477799-a,0,1,0,5,1,6,3,0,9,0,1,1,0,0,1,1,1,7,3,2,3,0
Mycobacterium sp. 852002-53434_SCH5985345,0,0,0,0,0,2,0,0,2,0,1,0,0,3,0,2,0,0,0,0,1,0
Mycobacterium sp. 852013-50091_SCH5140682,5,14,3,8,3,12,9,5,16,2,4,4,3,7,9,1,5,16,5,7,2,5
Mycobacterium sp. 852013-50142_SCH4511227,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,2,3,0,1,0,0
Mycobacterium sp. 852013-51886_SCH5428379,5,6,1,2,1,62,1,2,6,1,13,7,7,7,3,3,5,34,2,14,1,9
Mycobacterium sp. 852014-50255_SCH5639931,9,3,2,1,8,1,1,1,3,4,2,6,5,2,3,3,13,6,3,2,0,2
Mycobacterium sp. 852014-51730_SCH5271717,0,2,0,3,2,0,1,1,2,0,0,0,1,0,1,0,4,5,0,4,1,3
Mycobacterium sp. 852014-52144_SCH5372336,2,7,2,3,3,7,0,3,7,5,5,0,0,1,1,0,0,4,2,12,0,3
Mycobacterium sp. 852014-52450_SCH5900713,0,1,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,6,0,2,0,0
Mycobacterium sp. AB215,0,5,3,2,7,9,2,1,10,2,6,3,6,5,11,2,3,33,2,11,3,4
Mycobacterium sp. AB308,2,4,0,1,3,7,1,0,1,1,4,6,0,0,2,3,3,18,6,6,0,3
Mycobacterium sp. AB57,5,8,0,3,5,13,4,3,7,0,24,5,2,0,4,3,1,52,0,12,3,3
Mycobacterium sp. ACS1612,7,10,1,4,11,35,5,12,33,3,17,7,1,2,3,1,10,44,7,17,8,6
Mycobacterium sp. ACS4054,4,4,0,7,0,4,0,1,2,3,1,3,1,0,1,2,5,8,0,0,0,0
Mycobacterium sp. ACS4331,3,5,1,3,2,16,2,3,23,1,10,3,6,6,4,0,4,30,2,13,0,5
Mycobacterium sp. AFPC-000227,0,1,0,0,1,0,0,1,1,0,0,0,1,0,4,0,2,0,2,0,0,0
Mycobacterium sp. AT1,3,10,1,5,3,11,8,3,10,3,15,5,6,11,9,0,3,47,3,18,6,9
Mycobacterium sp. D16Q13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycobacterium sp. D16Q14,0,0,0,1,0,0,1,0,2,0,3,0,0,0,0,0,0,1,0,1,0,1
Mycobacterium sp. D16Q16,0,1,0,0,0,5,0,1,0,1,1,0,2,0,0,1,1,3,1,2,0,0
Mycobacterium sp. D16Q20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mycobacterium sp. D16R12,0,3,0,0,0,10,3,0,3,3,2,1,0,3,0,0,0,3,1,1,0,2
Mycobacterium sp. D16R18,0,4,4,2,0,2,1,1,2,0,0,0,0,0,13,0,0,7,1,5,0,2
Mycobacterium sp. D16R24,0,0,0,0,1,1,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,1
Mycobacterium sp. E1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Mycobacterium sp. E136,1,2,1,1,1,2,1,0,3,0,0,0,2,0,2,0,0,9,0,2,0,6
Mycobacterium sp. E1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
Mycobacterium sp. E152,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycobacterium sp. E1715,0,0,0,0,1,1,0,0,2,0,2,0,0,0,0,0,0,3,0,1,0,0
Mycobacterium sp. E1747,4,7,11,5,0,5,2,0,11,0,10,4,1,1,1,1,2,29,5,8,3,4
Mycobacterium sp. E183,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycobacterium sp. E2238,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,3,0,2,0,0
Mycobacterium sp. E2327,2,5,0,0,2,1,1,0,3,0,5,1,2,1,2,0,0,7,1,4,3,1
Mycobacterium sp. E2462,1,4,1,1,1,2,0,1,2,1,1,1,3,0,2,0,1,5,0,0,2,3
Mycobacterium sp. E2479,4,5,3,3,0,0,0,0,2,2,1,4,0,1,0,1,0,14,2,6,2,3
Mycobacterium sp. E2497,1,2,0,1,1,2,1,0,1,2,3,0,0,0,3,1,1,3,2,0,4,0
Mycobacterium sp. E2660,2,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
Mycobacterium sp. E2699,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,8,1,0,0,2
Mycobacterium sp. E2733,3,4,0,1,3,5,2,4,4,1,2,0,3,1,1,1,6,15,0,6,2,6
Mycobacterium sp. E2978,0,1,0,2,0,0,2,2,1,0,1,1,2,8,1,1,0,4,0,3,6,0
Mycobacterium sp. E2989,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,2
Mycobacterium sp. E3078,0,2,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,6,0,4,0,0
Mycobacterium sp. E3198,1,3,3,3,3,4,6,4,8,0,4,4,3,9,1,5,1,16,0,4,6,5
Mycobacterium sp. E3247,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,6,0,1,0,2
Mycobacterium sp. E3251,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
Mycobacterium sp. E3298,2,9,1,3,9,14,3,5,20,3,20,4,2,0,1,3,3,16,2,6,2,15
Mycobacterium sp. E3305,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0
Mycobacterium sp. E3339,0,0,0,0,1,1,0,2,1,0,3,1,2,0,1,0,0,2,0,0,0,0
Mycobacterium sp. E342,0,2,2,0,6,3,0,1,3,0,3,0,1,2,2,0,0,7,5,2,0,3
Mycobacterium sp. E735,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,2
Mycobacterium sp. E740,9,6,0,4,10,13,4,2,12,11,4,0,5,3,5,1,6,16,6,17,1,7
Mycobacterium sp. E787,1,1,0,0,0,0,0,0,1,1,1,0,1,1,5,0,0,2,2,0,0,1
Mycobacterium sp. E796,1,2,2,1,1,2,1,1,7,1,4,0,2,1,3,0,4,12,4,1,0,1
Mycobacterium sp. E802,0,1,1,4,1,0,1,0,2,6,2,4,5,1,0,0,0,6,0,4,1,2
Mycobacterium sp. EPa45,9,21,4,7,15,13,1,10,9,2,15,9,4,5,19,10,2,45,11,19,4,12
Mycobacterium sp. GA-0227b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Mycobacterium sp. GA-1199,1,7,0,0,1,6,0,1,5,0,2,0,1,1,1,0,0,9,0,3,0,1
Mycobacterium sp. GA-1285,2,0,1,3,1,8,0,3,12,0,10,4,4,1,5,0,3,26,2,7,0,5
Mycobacterium sp. GA-1331,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,0,0
Mycobacterium sp. GA-1379,3,0,0,0,1,2,0,0,2,0,0,1,0,0,0,0,1,1,1,1,0,0
Mycobacterium sp. GA-1683,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0
Mycobacterium sp. GA-1841,0,5,0,6,2,6,0,2,1,3,7,2,3,3,0,5,2,15,1,12,2,7
Mycobacterium sp. GA-2829,7,13,4,7,10,14,8,4,10,4,12,10,5,5,13,2,5,42,0,16,0,5
Mycobacterium sp. H070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mycobacterium sp. H092,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mycobacterium sp. H4Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mycobacterium sp. HH2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mycobacterium sp. IEC1808,0,4,1,0,7,6,1,1,5,0,4,0,0,0,7,1,2,3,0,6,0,0
Mycobacterium sp. IS-1264,1,1,0,0,0,2,0,0,1,0,1,0,0,0,2,1,2,1,1,1,0,0
Mycobacterium sp. IS-1496,0,6,0,1,2,5,3,0,11,0,8,4,0,4,1,0,1,16,1,15,2,3
Mycobacterium sp. IS-1556,1,1,0,1,0,1,0,1,0,0,2,0,0,1,0,1,2,3,0,2,0,0
Mycobacterium sp. IS-1590,1,7,1,0,1,5,0,0,5,1,3,0,0,0,0,0,2,18,6,8,0,1
Mycobacterium sp. IS-1742,2,6,1,2,1,5,3,1,10,0,7,4,1,1,1,2,3,29,1,7,0,2
Mycobacterium sp. IS-1744,0,1,1,4,1,2,1,0,1,0,1,1,1,1,0,1,1,8,0,2,0,0
Mycobacterium sp. IS-2888,0,0,0,0,0,1,0,0,4,0,3,1,2,0,0,0,2,1,1,0,0,0
Mycobacterium sp. IS-3022,2,7,1,1,12,10,2,0,7,0,7,1,0,4,7,4,1,11,1,7,1,6
Mycobacterium sp. IS-836,2,14,2,1,1,0,1,1,10,0,5,0,3,0,1,0,2,7,0,4,0,5
Mycobacterium sp. JLS,0,2,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,5,0,0,1,2
Mycobacterium sp. JS623,25,9,4,6,7,13,9,7,29,7,26,16,3,8,6,9,4,68,6,24,6,13
Mycobacterium sp. KMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1
Mycobacterium sp. M26,11,20,4,9,32,19,7,5,31,3,11,7,11,2,8,11,11,46,12,22,5,18
Mycobacterium sp. MAC_011194_8550,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mycobacterium sp. MAC_080597_8934,2,7,6,0,0,11,1,4,7,0,4,0,1,2,2,1,0,7,0,4,2,3
Mycobacterium sp. MCS,3,1,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,1,1,0,1,0
Mycobacterium sp. MOTT-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mycobacterium sp. MOTT36Y,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1
Mycobacterium sp. MS1601,14,7,6,5,21,23,11,6,25,0,11,13,1,9,8,2,8,39,5,20,7,6
Mycobacterium sp. N0056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mycobacterium sp. NAZ190054,6,11,5,9,14,30,4,6,19,6,24,4,8,5,5,14,5,55,5,29,5,19
Mycobacterium sp. NE-TNMC-100812,6,12,11,5,15,23,1,8,24,5,23,0,13,10,9,5,11,52,9,13,3,9
Mycobacterium sp. NS-7484,2,2,0,0,0,0,1,1,3,0,3,3,2,1,2,2,1,8,0,2,0,4
Mycobacterium sp. QIA-37,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0
