ID,20S20R1,7S7R100,9S9R100,3S3R100,21S21R1,22S22R1,8S8R100,6S6R100,2S2R100,5S5R100,16S16R1,17S17R1,1S1R100,15S15R1,18S18R1,19S19R1,14S14R1,11S11R1,4S4R100,10S10R1,12S12R1,13S13R1
Chitinophaga niabensis,50.0,166.0,83.0,88.0,104.0,607.0,75.0,37.0,298.0,79.0,535.0,15.0,48.0,53.0,78.0,39.0,110.0,294.0,54.0,330.0,20.0,157.0
Chitinophaga pinensis,12.0,51.0,26.0,22.0,29.0,336.0,2.0,12.0,92.0,14.0,101.0,26.0,22.0,10.0,24.0,23.0,53.0,102.0,12.0,96.0,6.0,46.0
Chitinophaga rupis,77.0,186.0,98.0,85.0,89.0,734.0,27.0,49.0,345.0,50.0,519.0,45.0,53.0,57.0,67.0,57.0,123.0,312.0,44.0,288.0,43.0,174.0
Chitinophaga sancti,45.0,81.0,38.0,53.0,60.0,348.0,20.0,24.0,164.0,47.0,267.0,62.0,49.0,42.0,57.0,40.0,147.0,183.0,28.0,206.0,22.0,103.0
Chitinophaga sp. CF118,42.0,133.0,67.0,70.0,59.0,339.0,9.0,20.0,201.0,60.0,293.0,13.0,49.0,25.0,70.0,32.0,90.0,213.0,52.0,193.0,20.0,88.0
Chitinophaga sp. YR573,35.0,113.0,48.0,65.0,69.0,607.0,31.0,27.0,618.0,55.0,308.0,24.0,41.0,16.0,53.0,27.0,104.0,219.0,47.0,189.0,9.0,86.0
Chitinophaga sp. YR627,31.0,57.0,33.0,20.0,66.0,262.0,7.0,12.0,107.0,19.0,150.0,37.0,23.0,20.0,29.0,29.0,57.0,115.0,17.0,80.0,5.0,65.0
Chitinophaga terrae Kim and Jung 2007,39.0,131.0,39.0,62.0,75.0,488.0,14.0,29.0,203.0,44.0,332.0,47.0,50.0,27.0,61.0,33.0,119.0,178.0,50.0,167.0,24.0,118.0
[Flexibacter] sp. ATCC 35208,25.0,103.0,50.0,57.0,81.0,267.0,7.0,37.0,179.0,34.0,263.0,32.0,43.0,25.0,60.0,23.0,115.0,190.0,27.0,159.0,15.0,103.0
uncultured Chitinophaga sp.,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0
Cnuella takakiae,52.0,452.0,102.0,151.0,146.0,860.0,11.0,91.0,396.0,46.0,879.0,42.0,69.0,36.0,80.0,37.0,135.0,645.0,67.0,1030.0,26.0,224.0
Crenotalea thermophila,16.0,96.0,21.0,53.0,50.0,288.0,8.0,23.0,195.0,39.0,315.0,15.0,46.0,15.0,28.0,22.0,78.0,146.0,33.0,106.0,15.0,73.0
Filimonas lacunae,69.0,252.0,98.0,218.0,121.0,499.0,7.0,68.0,300.0,75.0,1109.0,46.0,95.0,58.0,122.0,49.0,219.0,297.0,62.0,335.0,53.0,187.0
Flavihumibacter petaseus,42.0,173.0,180.0,86.0,105.0,440.0,13.0,44.0,289.0,44.0,521.0,26.0,50.0,19.0,111.0,37.0,97.0,244.0,37.0,243.0,23.0,130.0
Flavihumibacter solisilvae,44.0,134.0,51.0,82.0,81.0,556.0,13.0,69.0,286.0,44.0,541.0,29.0,77.0,27.0,86.0,29.0,75.0,273.0,43.0,216.0,24.0,177.0
Flavihumibacter sp. CACIAM 22H1,94.0,196.0,54.0,175.0,72.0,617.0,15.0,60.0,290.0,77.0,578.0,20.0,150.0,35.0,109.0,80.0,55.0,247.0,50.0,216.0,45.0,316.0
Flavihumibacter sp. ZG627,34.0,186.0,55.0,108.0,72.0,519.0,5.0,42.0,314.0,43.0,586.0,24.0,49.0,24.0,57.0,35.0,81.0,219.0,54.0,222.0,16.0,209.0
Flavisolibacter ginsengisoli,61.0,195.0,61.0,134.0,110.0,456.0,13.0,83.0,362.0,63.0,608.0,44.0,57.0,52.0,76.0,40.0,113.0,375.0,53.0,298.0,30.0,172.0
Flavisolibacter sp. LCS9,65.0,222.0,94.0,134.0,79.0,553.0,11.0,71.0,417.0,44.0,663.0,24.0,70.0,54.0,60.0,42.0,136.0,438.0,52.0,425.0,24.0,204.0
Hydrobacter penzbergensis,26.0,69.0,27.0,95.0,23.0,173.0,4.0,8.0,104.0,30.0,297.0,26.0,25.0,6.0,38.0,29.0,56.0,86.0,57.0,69.0,2.0,64.0
Hydrotalea flava,45.0,188.0,39.0,253.0,221.0,622.0,11.0,33.0,318.0,73.0,1209.0,72.0,72.0,22.0,92.0,57.0,156.0,199.0,61.0,325.0,21.0,190.0
Chitinophagaceae bacterium IBVUCB1,30.0,258.0,53.0,93.0,120.0,458.0,12.0,29.0,422.0,59.0,690.0,16.0,57.0,13.0,77.0,36.0,75.0,1021.0,46.0,308.0,20.0,263.0
Chitinophagaceae bacterium IBVUCB2,36.0,240.0,54.0,136.0,81.0,581.0,6.0,43.0,337.0,59.0,712.0,16.0,73.0,40.0,124.0,21.0,76.0,301.0,57.0,273.0,32.0,212.0
Chitinophagaceae bacterium PMP191F,46.0,192.0,71.0,143.0,80.0,501.0,13.0,45.0,304.0,56.0,533.0,43.0,75.0,34.0,60.0,31.0,125.0,352.0,45.0,288.0,18.0,156.0
Niabella aurantiaca,50.0,88.0,49.0,57.0,44.0,358.0,18.0,29.0,199.0,41.0,231.0,26.0,70.0,29.0,52.0,35.0,91.0,157.0,45.0,162.0,25.0,92.0
Niabella drilacis,38.0,84.0,56.0,80.0,70.0,295.0,14.0,25.0,174.0,43.0,322.0,58.0,48.0,33.0,55.0,57.0,130.0,135.0,48.0,142.0,21.0,98.0
Niabella ginsenosidivorans,48.0,107.0,46.0,77.0,44.0,395.0,14.0,30.0,172.0,35.0,302.0,77.0,60.0,24.0,51.0,45.0,160.0,140.0,38.0,169.0,29.0,101.0
Niabella soli,27.0,96.0,32.0,75.0,54.0,314.0,9.0,26.0,134.0,57.0,274.0,19.0,28.0,9.0,45.0,27.0,96.0,138.0,34.0,126.0,21.0,102.0
Niabella sp. SCN 42-15,8.0,14.0,3.0,12.0,16.0,86.0,3.0,4.0,53.0,12.0,46.0,13.0,11.0,10.0,11.0,12.0,24.0,21.0,2.0,25.0,3.0,26.0
Niastella koreensis,41.0,143.0,57.0,78.0,90.0,310.0,11.0,45.0,208.0,59.0,438.0,54.0,42.0,47.0,96.0,39.0,126.0,263.0,41.0,184.0,30.0,111.0
Niastella populi,42.0,180.0,80.0,76.0,76.0,503.0,22.0,33.0,286.0,66.0,449.0,36.0,54.0,39.0,80.0,36.0,92.0,331.0,35.0,291.0,16.0,138.0
Niastella sp. SCN 39-18,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Niastella vici,47.0,187.0,93.0,101.0,121.0,604.0,15.0,41.0,392.0,65.0,500.0,43.0,93.0,42.0,128.0,59.0,178.0,449.0,56.0,315.0,23.0,147.0
Niastella yeongjuensis,21.0,143.0,63.0,66.0,44.0,300.0,6.0,30.0,203.0,24.0,350.0,22.0,34.0,31.0,32.0,31.0,83.0,236.0,18.0,205.0,12.0,80.0
Parafilimonas terrae,45.0,172.0,62.0,169.0,82.0,961.0,14.0,40.0,374.0,78.0,862.0,223.0,78.0,28.0,70.0,60.0,115.0,285.0,41.0,250.0,19.0,149.0
Sediminibacterium ginsengisoli,61.0,251.0,54.0,472.0,88.0,447.0,19.0,25.0,348.0,70.0,1627.0,39.0,57.0,14.0,79.0,37.0,85.0,274.0,41.0,311.0,12.0,215.0
Sediminibacterium salmoneum,105.0,340.0,58.0,148.0,66.0,490.0,3.0,25.0,195.0,55.0,725.0,122.0,114.0,25.0,122.0,40.0,84.0,111.0,48.0,205.0,23.0,338.0
Sediminibacterium sp. C3,81.0,470.0,51.0,135.0,59.0,302.0,7.0,33.0,206.0,59.0,853.0,65.0,107.0,11.0,87.0,35.0,115.0,112.0,36.0,193.0,15.0,251.0
Segetibacter koreensis,74.0,282.0,111.0,165.0,146.0,645.0,29.0,37.0,427.0,62.0,884.0,37.0,61.0,28.0,100.0,50.0,140.0,359.0,62.0,402.0,36.0,167.0
Terrimonas ferruginea,9.0,23.0,15.0,20.0,12.0,96.0,0.0,11.0,54.0,5.0,46.0,5.0,14.0,5.0,11.0,5.0,13.0,41.0,10.0,47.0,2.0,29.0
Terrimonas lutea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus Amoebophilus asiaticus,39.0,29.0,11.0,41.0,60.0,140.0,6.0,25.0,83.0,36.0,176.0,23.0,38.0,38.0,40.0,42.0,86.0,87.0,35.0,45.0,4.0,31.0
Candidatus Amoebophilus sp. 36-38,21.0,18.0,9.0,17.0,25.0,105.0,1.0,7.0,87.0,16.0,65.0,4.0,25.0,7.0,17.0,17.0,33.0,73.0,13.0,51.0,5.0,16.0
Cardinium endosymbiont of Bemisia tabaci,2.0,3.0,1.0,5.0,1.0,54.0,2.0,0.0,30.0,3.0,25.0,5.0,7.0,1.0,2.0,1.0,6.0,17.0,1.0,12.0,0.0,4.0
Cardinium endosymbiont of Encarsia pergandiella,2.0,0.0,1.0,4.0,13.0,46.0,0.0,0.0,27.0,3.0,13.0,1.0,6.0,2.0,3.0,4.0,15.0,32.0,8.0,12.0,0.0,6.0
Bernardetia litoralis,39.0,90.0,34.0,62.0,302.0,1235.0,11.0,38.0,658.0,52.0,858.0,24.0,50.0,26.0,48.0,57.0,125.0,173.0,30.0,198.0,13.0,105.0
Hugenholtzia roseola,67.0,125.0,55.0,97.0,195.0,991.0,11.0,30.0,379.0,82.0,692.0,63.0,76.0,59.0,101.0,87.0,194.0,174.0,73.0,206.0,27.0,145.0
Catalinimonas alkaloidigena,63.0,218.0,113.0,88.0,207.0,1841.0,16.0,43.0,716.0,65.0,950.0,33.0,77.0,22.0,92.0,53.0,147.0,548.0,43.0,457.0,19.0,175.0
Algoriphagus alkaliphilus,61.0,358.0,74.0,194.0,74.0,5228.0,8.0,19.0,3380.0,121.0,558.0,244.0,107.0,25.0,115.0,94.0,119.0,905.0,58.0,201.0,18.0,381.0
Algoriphagus aquimarinus,24.0,388.0,41.0,79.0,108.0,1113.0,11.0,21.0,517.0,46.0,469.0,26.0,56.0,25.0,49.0,27.0,55.0,1229.0,46.0,223.0,11.0,123.0
Algoriphagus boritolerans,49.0,374.0,65.0,194.0,110.0,6995.0,12.0,21.0,4144.0,93.0,463.0,41.0,82.0,25.0,108.0,61.0,69.0,922.0,29.0,214.0,15.0,368.0
Algoriphagus faecimaris,63.0,206.0,43.0,68.0,129.0,1679.0,6.0,16.0,562.0,57.0,306.0,45.0,61.0,21.0,77.0,69.0,52.0,248.0,44.0,170.0,5.0,138.0
Algoriphagus halophilus,22.0,161.0,34.0,58.0,149.0,1333.0,4.0,17.0,469.0,31.0,344.0,11.0,34.0,14.0,25.0,27.0,37.0,325.0,18.0,222.0,10.0,120.0
Algoriphagus hitonicola,27.0,118.0,44.0,83.0,118.0,1914.0,6.0,29.0,512.0,49.0,303.0,17.0,37.0,18.0,52.0,53.0,70.0,229.0,29.0,157.0,11.0,136.0
Algoriphagus locisalis,42.0,1272.0,64.0,110.0,108.0,1892.0,9.0,33.0,951.0,61.0,426.0,32.0,70.0,48.0,56.0,40.0,66.0,3314.0,29.0,451.0,36.0,183.0
Algoriphagus machipongonensis,10.0,158.0,24.0,70.0,230.0,1788.0,3.0,7.0,519.0,26.0,439.0,12.0,25.0,7.0,21.0,11.0,47.0,402.0,8.0,239.0,4.0,116.0
Algoriphagus mannitolivorans,38.0,388.0,69.0,121.0,119.0,1592.0,2.0,26.0,744.0,24.0,453.0,10.0,50.0,9.0,55.0,25.0,30.0,404.0,28.0,206.0,10.0,253.0
Algoriphagus marincola,74.0,223.0,74.0,130.0,198.0,2492.0,26.0,31.0,827.0,88.0,649.0,112.0,73.0,42.0,109.0,59.0,128.0,320.0,68.0,276.0,18.0,198.0
Algoriphagus ornithinivorans,14.0,124.0,18.0,69.0,87.0,1591.0,3.0,15.0,461.0,45.0,271.0,49.0,32.0,9.0,43.0,28.0,44.0,201.0,10.0,111.0,5.0,94.0
Algoriphagus sp. A40,86.0,550.0,112.0,226.0,98.0,3966.0,4.0,28.0,2375.0,98.0,750.0,50.0,158.0,29.0,233.0,88.0,63.0,2463.0,35.0,390.0,20.0,1004.0
Algoriphagus sp. KK10202C,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algoriphagus sp. M8-2,50.0,512.0,141.0,196.0,136.0,1785.0,47.0,36.0,823.0,50.0,452.0,70.0,64.0,41.0,68.0,69.0,61.0,440.0,30.0,319.0,68.0,381.0
Algoriphagus sp. NH1,45.0,494.0,67.0,95.0,125.0,1397.0,10.0,28.0,713.0,63.0,457.0,26.0,69.0,29.0,51.0,28.0,70.0,2398.0,44.0,321.0,21.0,173.0
Algoriphagus sp. am2,35.0,207.0,29.0,100.0,206.0,2620.0,11.0,24.0,772.0,49.0,526.0,43.0,48.0,28.0,50.0,37.0,39.0,327.0,32.0,207.0,12.0,139.0
Algoriphagus terrigena,209.0,1975.0,118.0,361.0,115.0,2730.0,20.0,73.0,2366.0,174.0,1290.0,91.0,522.0,60.0,410.0,98.0,96.0,7434.0,62.0,667.0,50.0,2177.0
Algoriphagus vanfongensis,26.0,145.0,22.0,57.0,93.0,994.0,9.0,17.0,373.0,23.0,299.0,13.0,23.0,25.0,50.0,17.0,28.0,311.0,12.0,151.0,11.0,84.0
Algoriphagus zhangzhouensis,28.0,137.0,43.0,84.0,88.0,1176.0,3.0,21.0,378.0,47.0,336.0,22.0,22.0,13.0,36.0,24.0,68.0,281.0,8.0,204.0,10.0,129.0
Aquiflexum balticum,64.0,150.0,54.0,104.0,248.0,5789.0,9.0,17.0,1541.0,70.0,849.0,49.0,55.0,31.0,85.0,50.0,148.0,314.0,46.0,315.0,15.0,200.0
Belliella baltica,62.0,131.0,305.0,98.0,174.0,2030.0,8.0,52.0,865.0,122.0,543.0,77.0,82.0,67.0,396.0,58.0,165.0,244.0,97.0,190.0,35.0,236.0
Belliella pelovolcani,35.0,95.0,21.0,66.0,81.0,1769.0,6.0,13.0,510.0,38.0,328.0,20.0,42.0,24.0,30.0,34.0,58.0,157.0,25.0,169.0,12.0,85.0
Cecembia lonarensis,24.0,150.0,40.0,55.0,192.0,2580.0,7.0,29.0,757.0,47.0,667.0,70.0,40.0,15.0,70.0,36.0,66.0,190.0,29.0,193.0,12.0,151.0
Cyclobacterium amurskyense,24.0,80.0,19.0,28.0,149.0,1512.0,17.0,11.0,417.0,30.0,345.0,8.0,22.0,15.0,38.0,11.0,36.0,113.0,10.0,144.0,6.0,63.0
Cyclobacterium halophilum,32.0,140.0,36.0,70.0,182.0,2531.0,18.0,28.0,895.0,36.0,459.0,72.0,36.0,32.0,44.0,23.0,61.0,262.0,24.0,241.0,22.0,92.0
Cyclobacterium lianum,38.0,107.0,43.0,59.0,104.0,1275.0,7.0,11.0,751.0,48.0,272.0,29.0,50.0,16.0,75.0,38.0,73.0,298.0,24.0,231.0,6.0,111.0
Cyclobacterium marinum,32.0,99.0,33.0,46.0,129.0,1186.0,4.0,19.0,494.0,52.0,289.0,24.0,47.0,25.0,47.0,38.0,75.0,164.0,30.0,228.0,7.0,70.0
Cyclobacterium qasimii,20.0,71.0,39.0,44.0,96.0,897.0,2.0,9.0,397.0,30.0,387.0,5.0,40.0,11.0,28.0,14.0,68.0,108.0,32.0,161.0,6.0,80.0
Echinicola pacifica,30.0,111.0,47.0,82.0,151.0,1410.0,7.0,32.0,392.0,56.0,513.0,36.0,59.0,38.0,60.0,47.0,122.0,247.0,21.0,332.0,14.0,101.0
Echinicola vietnamensis,44.0,187.0,51.0,84.0,185.0,1758.0,13.0,27.0,485.0,55.0,609.0,23.0,47.0,32.0,81.0,41.0,100.0,571.0,38.0,334.0,10.0,150.0
Indibacter alkaliphilus,33.0,108.0,69.0,55.0,81.0,2542.0,57.0,27.0,662.0,53.0,356.0,45.0,35.0,37.0,50.0,39.0,62.0,242.0,40.0,180.0,21.0,121.0
Lunatimonas lonarensis,53.0,193.0,57.0,109.0,123.0,1781.0,12.0,30.0,941.0,84.0,593.0,29.0,61.0,35.0,71.0,35.0,142.0,220.0,44.0,254.0,25.0,115.0
Mariniradius saccharolyticus,32.0,244.0,38.0,92.0,181.0,4297.0,6.0,21.0,1101.0,49.0,449.0,24.0,40.0,28.0,49.0,39.0,79.0,265.0,30.0,267.0,9.0,181.0
Nitritalea halalkaliphila,12.0,72.0,19.0,39.0,74.0,883.0,2.0,15.0,276.0,40.0,268.0,66.0,27.0,10.0,26.0,26.0,40.0,101.0,18.0,138.0,7.0,50.0
Anditalea andensis,56.0,153.0,91.0,84.0,103.0,1724.0,8.0,30.0,538.0,64.0,524.0,30.0,50.0,18.0,80.0,38.0,143.0,174.0,50.0,263.0,16.0,134.0
Arsenicibacter rosenii,42.0,263.0,48.0,57.0,90.0,1686.0,16.0,23.0,440.0,47.0,823.0,36.0,59.0,22.0,51.0,39.0,100.0,410.0,25.0,244.0,19.0,124.0
uncultured Candidatus Nephrothrix sp.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cytophaga aurantiaca,89.0,117.0,41.0,91.0,105.0,618.0,5.0,24.0,345.0,56.0,829.0,18.0,115.0,40.0,127.0,56.0,111.0,757.0,51.0,172.0,11.0,186.0
Cytophaga hutchinsonii,78.0,131.0,26.0,67.0,110.0,811.0,9.0,27.0,348.0,47.0,724.0,24.0,126.0,15.0,112.0,28.0,82.0,787.0,37.0,196.0,16.0,175.0
Cytophaga sp. I-545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Cytophaga sp. MBIC04693,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Cytophaga sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Cytophaga xylanolytica,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
uncultured Cytophaga sp.,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,2.0
Dyadobacter alkalitolerans,34.0,89.0,39.0,26.0,36.0,464.0,29.0,19.0,156.0,30.0,261.0,8.0,31.0,31.0,30.0,24.0,62.0,438.0,26.0,122.0,31.0,72.0
Dyadobacter beijingensis,26.0,100.0,28.0,31.0,56.0,434.0,4.0,19.0,138.0,26.0,224.0,11.0,19.0,17.0,30.0,17.0,38.0,353.0,19.0,109.0,8.0,62.0
Dyadobacter crusticola,15.0,82.0,29.0,29.0,59.0,412.0,8.0,11.0,90.0,16.0,276.0,6.0,13.0,13.0,25.0,7.0,44.0,344.0,18.0,85.0,11.0,56.0
Dyadobacter fermentans,34.0,58.0,61.0,36.0,39.0,345.0,13.0,22.0,156.0,34.0,158.0,24.0,39.0,27.0,46.0,25.0,86.0,345.0,34.0,111.0,11.0,55.0
Dyadobacter koreensis,84.0,255.0,64.0,99.0,130.0,1408.0,19.0,43.0,381.0,66.0,596.0,87.0,101.0,45.0,96.0,59.0,173.0,1454.0,75.0,256.0,56.0,146.0
Dyadobacter psychrophilus,45.0,119.0,48.0,43.0,92.0,728.0,13.0,29.0,187.0,64.0,281.0,30.0,57.0,21.0,78.0,31.0,103.0,609.0,51.0,184.0,37.0,77.0
Dyadobacter soli,22.0,85.0,24.0,20.0,52.0,591.0,10.0,12.0,158.0,18.0,180.0,6.0,33.0,13.0,30.0,22.0,59.0,336.0,16.0,112.0,18.0,34.0
Dyadobacter sp. 50-39,27.0,73.0,27.0,20.0,37.0,286.0,6.0,14.0,117.0,17.0,148.0,16.0,32.0,25.0,32.0,16.0,45.0,363.0,22.0,100.0,25.0,72.0
Dyadobacter sp. Leaf189,36.0,86.0,20.0,33.0,36.0,497.0,9.0,21.0,152.0,25.0,238.0,17.0,32.0,35.0,36.0,19.0,98.0,278.0,14.0,118.0,13.0,72.0
Dyadobacter sp. SG02,17.0,77.0,21.0,36.0,41.0,360.0,7.0,12.0,116.0,29.0,177.0,14.0,26.0,27.0,24.0,14.0,52.0,307.0,27.0,90.0,26.0,57.0
Dyadobacter tibetensis,65.0,165.0,48.0,59.0,123.0,1447.0,8.0,22.0,364.0,52.0,759.0,35.0,44.0,31.0,65.0,35.0,106.0,1005.0,44.0,206.0,23.0,104.0
uncultured Dyadobacter sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,3.0,0.0,1.0
Emticicia oligotrophica,40.0,393.0,38.0,78.0,171.0,4876.0,10.0,21.0,480.0,54.0,4024.0,44.0,43.0,34.0,59.0,36.0,119.0,671.0,44.0,238.0,16.0,602.0
Emticicia sp. MM,15.0,338.0,17.0,45.0,45.0,1854.0,4.0,6.0,255.0,22.0,2023.0,25.0,18.0,8.0,20.0,21.0,56.0,396.0,10.0,114.0,4.0,487.0
Fibrella aestuarina,37.0,174.0,42.0,51.0,101.0,1106.0,16.0,20.0,265.0,31.0,527.0,28.0,32.0,16.0,63.0,28.0,71.0,287.0,13.0,133.0,16.0,81.0
Fibrella sp. ES10-3-2-2,20.0,187.0,39.0,38.0,72.0,999.0,7.0,17.0,232.0,32.0,563.0,23.0,37.0,15.0,46.0,33.0,68.0,424.0,14.0,166.0,13.0,83.0
Fibrisoma limi,40.0,197.0,57.0,68.0,59.0,1286.0,10.0,16.0,351.0,41.0,542.0,30.0,38.0,29.0,35.0,48.0,80.0,366.0,35.0,176.0,15.0,123.0
Flectobacillus major,48.0,4424.0,51.0,108.0,175.0,2479.0,7.0,48.0,672.0,63.0,3042.0,50.0,65.0,26.0,142.0,57.0,169.0,3922.0,56.0,1273.0,15.0,586.0
Flexibacter flexilis,55.0,170.0,53.0,79.0,198.0,1530.0,20.0,41.0,462.0,74.0,780.0,222.0,76.0,36.0,120.0,69.0,149.0,191.0,57.0,279.0,18.0,190.0
Leadbetterella byssophila,68.0,243.0,41.0,160.0,156.0,5560.0,29.0,43.0,477.0,99.0,3169.0,109.0,107.0,101.0,104.0,80.0,216.0,378.0,57.0,268.0,46.0,265.0
Leadbetterella sp. JN14-9,21.0,250.0,28.0,106.0,229.0,7768.0,8.0,19.0,813.0,66.0,4396.0,33.0,38.0,16.0,64.0,38.0,68.0,850.0,52.0,332.0,13.0,135.0
uncultured Leadbetterella sp.,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Cytophagaceae bacterium SCN 52-12,48.0,165.0,64.0,75.0,82.0,951.0,27.0,34.0,343.0,76.0,484.0,33.0,65.0,58.0,50.0,40.0,86.0,319.0,29.0,167.0,65.0,145.0
marine bacterium AO1-C,46.0,146.0,65.0,92.0,289.0,2656.0,30.0,41.0,720.0,84.0,720.0,55.0,96.0,60.0,112.0,60.0,125.0,367.0,50.0,327.0,35.0,138.0
Ohtaekwangia koreensis,54.0,346.0,125.0,167.0,168.0,2086.0,19.0,48.0,1210.0,81.0,768.0,39.0,99.0,43.0,114.0,75.0,137.0,951.0,50.0,692.0,27.0,206.0
Pseudarcicella hirudinis,84.0,2568.0,66.0,116.0,108.0,1964.0,14.0,33.0,444.0,47.0,1960.0,48.0,90.0,28.0,106.0,39.0,170.0,1033.0,72.0,660.0,12.0,350.0
Rhodonellum ikkaensis,0.0,1.0,0.0,2.0,5.0,18.0,0.0,1.0,12.0,0.0,6.0,1.0,2.0,0.0,2.0,1.0,3.0,6.0,8.0,4.0,0.0,0.0
Rhodonellum psychrophilum,0.0,7.0,2.0,1.0,5.0,23.0,0.0,0.0,5.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0
Rudanella lutea,93.0,197.0,75.0,88.0,154.0,1347.0,17.0,40.0,278.0,85.0,859.0,72.0,80.0,84.0,71.0,69.0,137.0,348.0,60.0,203.0,41.0,112.0
Runella limosa,43.0,377.0,64.0,98.0,143.0,2717.0,41.0,23.0,561.0,96.0,1707.0,46.0,64.0,59.0,95.0,63.0,143.0,500.0,47.0,333.0,33.0,241.0
Runella slithyformis,57.0,318.0,66.0,96.0,167.0,2380.0,16.0,36.0,566.0,95.0,1384.0,128.0,84.0,51.0,121.0,66.0,189.0,497.0,53.0,257.0,20.0,254.0
Runella zeae,59.0,375.0,82.0,101.0,123.0,2536.0,11.0,39.0,509.0,92.0,1335.0,97.0,93.0,35.0,106.0,62.0,169.0,487.0,74.0,249.0,37.0,207.0
Siphonobacter aquaeclarae,33.0,308.0,55.0,82.0,130.0,1735.0,12.0,38.0,415.0,50.0,976.0,33.0,58.0,28.0,57.0,32.0,123.0,430.0,25.0,240.0,13.0,132.0
Spirosoma aerolatum,19.0,72.0,12.0,34.0,19.0,319.0,3.0,16.0,111.0,36.0,144.0,12.0,16.0,19.0,26.0,19.0,31.0,95.0,13.0,70.0,8.0,36.0
Spirosoma endophyticum,42.0,155.0,66.0,58.0,71.0,534.0,14.0,41.0,209.0,38.0,363.0,24.0,32.0,22.0,63.0,20.0,76.0,386.0,31.0,161.0,13.0,97.0
Spirosoma linguale,28.0,175.0,43.0,53.0,52.0,692.0,10.0,20.0,253.0,32.0,458.0,14.0,49.0,15.0,56.0,25.0,59.0,2309.0,21.0,214.0,18.0,120.0
Spirosoma luteum,22.0,93.0,40.0,31.0,37.0,441.0,6.0,10.0,130.0,25.0,236.0,20.0,38.0,22.0,31.0,22.0,48.0,231.0,20.0,97.0,24.0,74.0
Spirosoma montaniterrae,19.0,136.0,24.0,41.0,69.0,872.0,4.0,23.0,202.0,23.0,468.0,12.0,23.0,32.0,30.0,13.0,59.0,240.0,17.0,114.0,23.0,85.0
Spirosoma panaciterrae,20.0,50.0,16.0,24.0,35.0,452.0,6.0,10.0,123.0,25.0,216.0,15.0,19.0,23.0,26.0,21.0,38.0,170.0,6.0,84.0,16.0,54.0
Spirosoma radiotolerans,22.0,121.0,34.0,43.0,45.0,544.0,3.0,23.0,138.0,36.0,225.0,16.0,31.0,25.0,55.0,35.0,63.0,499.0,41.0,140.0,12.0,68.0
Spirosoma rigui,19.0,93.0,20.0,31.0,39.0,722.0,6.0,8.0,166.0,21.0,340.0,14.0,24.0,5.0,33.0,19.0,32.0,647.0,22.0,104.0,7.0,42.0
Spirosoma sp. 209,26.0,119.0,32.0,44.0,50.0,1047.0,13.0,11.0,271.0,28.0,397.0,21.0,23.0,14.0,33.0,12.0,50.0,313.0,22.0,122.0,6.0,83.0
Spirosoma sp. 48-14,21.0,109.0,28.0,22.0,64.0,371.0,10.0,17.0,187.0,14.0,220.0,24.0,32.0,10.0,29.0,36.0,45.0,195.0,36.0,91.0,11.0,68.0
Spirosoma spitsbergense,31.0,99.0,31.0,45.0,148.0,587.0,5.0,26.0,191.0,35.0,218.0,29.0,24.0,21.0,50.0,42.0,45.0,215.0,24.0,126.0,10.0,71.0
